Placa;Dispositivo;Fabricante;Data Comunicacao;Data Posicao;Data Evento;Igni;Bloq;Vel;Alt;Val;Bat;On;Eventos;Sensores;Endereco;Motorista;Latitude;Longitude
AYH1289;30064283;GV75;26/09/2017 23:37:08;26/09/2017 23:33:55;26/09/2017 23:37:26;Desligada;Desativado;0.0;468;Valido;100%;Nao;Posição;;R S. Joao - 0 A 0 - candido Mota - SP;;-22.746067;-50.377171
AYH1289;30064283;GV75;26/09/2017 22:36:51;26/09/2017 22:36:49;26/09/2017 22:37:08;Desligada;Desativado;0.0;468;Valido;100%;Nao;Posição;;R S. Joao - 0 A 0 - candido Mota - SP;;-22.746067;-50.377171
AYH1289;30064283;GV75;26/09/2017 22:36:50;26/09/2017 22:36:49;26/09/2017 22:37:08;Desligada;Desativado;0.0;468;Valido;100%;Nao;Ignição Off;;R S. Joao - 0 A 0 - candido Mota - SP;;-22.746067;-50.377171
AYH1289;30064283;GV75;26/09/2017 22:36:46;26/09/2017 22:36:44;26/09/2017 22:37:04;Desligada;Desativado;0.0;468;Valido;100%;Nao;Ignição Off;;R s. joao - 0 a 0 - candido mota - SP;;-22.746067;-50.377171
AYH1289;30064283;GV75;26/09/2017 22:35:48;26/09/2017 22:35:44;26/09/2017 22:36:06;Ligada;Desativado;8.0;470;Valido;100%;Nao;Posição;;R s. jose - 209 a 108 - 19880000 - candido mota - SP;;-22.745161;-50.377777
AYH1289;30064283;GV75;26/09/2017 22:34:48;26/09/2017 22:34:44;26/09/2017 22:35:06;Ligada;Desativado;62.0;465;Valido;100%;Nao;Posição;;Rua joao favaretto - candido mota - sp;;-22.741116;-50.376068
AYH1289;30064283;GV75;26/09/2017 22:33:48;26/09/2017 22:33:44;26/09/2017 22:34:06;Ligada;Desativado;88.0;448;Valido;100%;Nao;Posição;;Rodovia eduardo mazanatti - candido mota - sp;;-22.736801;-50.364952
AYH1289;30064283;GV75;26/09/2017 22:32:49;26/09/2017 22:32:44;26/09/2017 22:33:06;Ligada;Desativado;83.0;467;Valido;100%;Nao;Posição;;Rod sp-266 - 0 a 0 - candido mota - SP;;-22.732092;-50.352089
AYH1289;30064283;GV75;26/09/2017 22:32:16;26/09/2017 22:31:44;26/09/2017 22:32:06;Ligada;Desativado;98.0;420;Valido;100%;Nao;Posição;;CANDIDO MOTA - SP;;-22.727076;-50.338352
AYH1289;30064283;GV75;26/09/2017 22:30:50;26/09/2017 22:30:44;26/09/2017 22:31:07;Ligada;Desativado;91.0;467;Valido;100%;Nao;Posição;;CANDIDO MOTA - SP;;-22.721996;-50.324471
AYH1289;30064283;GV75;26/09/2017 22:29:49;26/09/2017 22:29:44;26/09/2017 22:30:07;Ligada;Desativado;105.0;481;Valido;100%;Nao;Posição;;CANDIDO MOTA - SP;;-22.71652;-50.309628
AYH1289;30064283;GV75;26/09/2017 22:28:49;26/09/2017 22:28:44;26/09/2017 22:29:07;Ligada;Desativado;83.0;471;Valido;100%;Nao;Posição;;CANDIDO MOTA - SP;;-22.711197;-50.295212
AYH1289;30064283;GV75;26/09/2017 22:28:26;26/09/2017 22:27:44;26/09/2017 22:28:07;Ligada;Desativado;64.0;476;Valido;100%;Nao;Posição;;Candido mota - sp - 19880-000 - brazil;;-22.702351;-50.290257
AYH1289;30064283;GV75;26/09/2017 22:28:26;26/09/2017 22:26:44;26/09/2017 22:27:07;Ligada;Desativado;24.0;493;Valido;100%;Nao;Posição;;R prca. isabel - 223 a 116 - 19880000 - candido mota - SP;;-22.698124;-50.291027
AYH1289;30064283;GV75;26/09/2017 22:26:36;26/09/2017 22:25:44;26/09/2017 22:26:07;Ligada;Desativado;18.0;490;Valido;100%;Nao;Posição;;Av marginal - 31 a 140 - 19880000 - candido mota - SP;;-22.695906;-50.292419
AYH1289;30064283;GV75;26/09/2017 22:26:35;26/09/2017 22:24:59;26/09/2017 22:25:18;Ligada;Desativado;9.0;482;Valido;100%;Nao;Ignição On;;Posto alexandria - candido mota - sp;;-22.695608;-50.293835
AYH1289;30064283;GV75;26/09/2017 22:26:35;26/09/2017 22:24:59;26/09/2017 22:25:18;Ligada;Desativado;9.0;482;Valido;100%;Nao;Posição;;Posto Alexandria - Candido Mota - Sp;;-22.695608;-50.293835
AYH1289;30064283;GV75;26/09/2017 22:24:44;26/09/2017 21:43:44;26/09/2017 22:25:02;Ligada;Desativado;0.0;513;Valido;100%;Nao;Ignição On;;Rod Sp-270 - 0 A 0 - candido Mota - SP;;-22.695505;-50.293461
AYH1289;30064283;GV75;26/09/2017 21:46:33;26/09/2017 21:43:44;26/09/2017 21:46:50;Desligada;Desativado;0.0;513;Valido;100%;Nao;Posição;;Rod Sp-270 - 0 A 0 - candido Mota - SP;;-22.695505;-50.293461
AYH1289;30064283;GV75;26/09/2017 20:47:55;26/09/2017 20:46:20;26/09/2017 20:46:39;Desligada;Desativado;0.0;513;Valido;100%;Nao;Posição;;Rod Sp-270 - 0 A 0 - candido Mota - SP;;-22.695505;-50.293461
AYH1289;30064283;GV75;26/09/2017 20:47:54;26/09/2017 20:46:20;26/09/2017 20:46:39;Desligada;Desativado;0.0;513;Valido;100%;Nao;Ignição On;;Rod sp-270 - 0 a 0 - candido mota - SP;;-22.695505;-50.293461
AYH1289;30064283;GV75;26/09/2017 20:47:54;26/09/2017 20:46:20;26/09/2017 20:46:39;Desligada;Desativado;0.0;513;Valido;100%;Nao;Ignição Off;;Rod Sp-270 - 0 A 0 - candido Mota - SP;;-22.695505;-50.293461
AYH1289;30064283;GV75;26/09/2017 20:47:53;26/09/2017 20:17:26;26/09/2017 20:46:28;Desligada;Desativado;0.0;508;Valido;100%;Nao;Ignição Off;;Posto Alexandria - Candido Mota - Sp;;-22.69558;-50.293728
AYH1289;30064283;GV75;26/09/2017 20:46:03;26/09/2017 20:17:26;26/09/2017 20:46:20;Ligada;Desativado;0.0;508;Valido;100%;Nao;Ignição On;;Posto Alexandria - Candido Mota - Sp;;-22.69558;-50.293728
AYH1289;30064283;GV75;26/09/2017 20:20:36;26/09/2017 20:17:26;26/09/2017 20:20:54;Desligada;Desativado;0.0;508;Valido;100%;Nao;Posição;;Posto Alexandria - Candido Mota - Sp;;-22.69558;-50.293728
AYH1289;30064283;GV75;26/09/2017 19:20:45;26/09/2017 19:17:39;26/09/2017 19:21:03;Desligada;Desativado;0.0;508;Valido;100%;Nao;Posição;;Posto Alexandria - Candido Mota - Sp;;-22.69558;-50.293728
AYH1289;30064283;GV75;26/09/2017 18:20:54;26/09/2017 18:17:41;26/09/2017 18:21:12;Desligada;Desativado;0.0;508;Valido;100%;Nao;Posição;;Posto Alexandria - Candido Mota - Sp;;-22.69558;-50.293728
AYH1289;30064283;GV75;26/09/2017 17:22:18;26/09/2017 17:20:40;26/09/2017 17:20:59;Desligada;Desativado;0.0;508;Valido;100%;Nao;Posição;;Posto Alexandria - Candido Mota - Sp;;-22.69558;-50.293728
AYH1289;30064283;GV75;26/09/2017 17:22:17;26/09/2017 17:20:40;26/09/2017 17:20:59;Desligada;Desativado;0.0;508;Valido;100%;Nao;Ignição Off;;Posto Alexandria - Candido Mota - Sp;;-22.69558;-50.293728
AYH1289;30064283;GV75;26/09/2017 17:22:16;26/09/2017 17:20:40;26/09/2017 17:20:59;Desligada;Desativado;0.0;508;Valido;100%;Nao;Ignição On;;Posto Alexandria - Candido Mota - Sp;;-22.69558;-50.293728
AYH1289;30064283;GV75;26/09/2017 17:22:15;26/09/2017 17:20:17;26/09/2017 17:20:47;Desligada;Desativado;0.0;490;Valido;100%;Nao;Ignição Off;;Posto Alexandria - Candido Mota - Sp;;-22.695599;-50.29372
AYH1289;30064283;GV75;26/09/2017 17:20:25;26/09/2017 17:20:17;26/09/2017 17:20:43;Ligada;Desativado;0.0;490;Valido;100%;Nao;Ignição On;;Posto Alexandria - Candido Mota - Sp;;-22.695599;-50.29372
AYH1289;30064283;GV75;26/09/2017 17:20:19;26/09/2017 17:20:17;26/09/2017 17:20:36;Desligada;Desativado;0.0;490;Valido;100%;Nao;Posição;;Posto Alexandria - Candido Mota - Sp;;-22.695599;-50.29372
AYH1289;30064283;GV75;26/09/2017 17:20:18;26/09/2017 17:20:17;26/09/2017 17:20:36;Desligada;Desativado;0.0;490;Valido;100%;Nao;Ignição Off;;Posto Alexandria - Candido Mota - Sp;;-22.695599;-50.29372
AYH1289;30064283;GV75;26/09/2017 17:20:13;26/09/2017 17:20:12;26/09/2017 17:20:31;Desligada;Desativado;0.0;490;Valido;100%;Nao;Ignição Off;;Posto alexandria - candido mota - sp;;-22.695599;-50.29372
AYH1289;30064283;GV75;26/09/2017 17:19:49;26/09/2017 17:19:45;26/09/2017 17:20:06;Ligada;Desativado;0.0;492;Valido;100%;Nao;Posição;;Rod Sp-270 - 0 A 0 - candido Mota - SP;;-22.695528;-50.293217
AYH1289;30064283;GV75;26/09/2017 17:18:49;26/09/2017 17:18:45;26/09/2017 17:19:07;Ligada;Desativado;0.0;492;Valido;100%;Nao;Posição;;Rod sp-270 - 0 a 0 - candido mota - SP;;-22.695528;-50.293217
AYH1289;30064283;GV75;26/09/2017 17:18:27;26/09/2017 17:17:45;26/09/2017 17:18:06;Ligada;Desativado;0.0;486;Valido;100%;Nao;Posição;;Av Marginal - 31 A 140 - 19880000 - candido Mota - SP;;-22.696049;-50.2924
AYH1289;30064283;GV75;26/09/2017 17:18:26;26/09/2017 17:16:45;26/09/2017 17:17:07;Ligada;Desativado;0.0;486;Valido;100%;Nao;Posição;;Av marginal - 31 a 140 - 19880000 - candido mota - SP;;-22.696049;-50.2924
AYH1289;30064283;GV75;26/09/2017 17:16:36;26/09/2017 17:15:51;26/09/2017 17:16:09;Ligada;Desativado;18.0;484;Valido;100%;Nao;Posição;;Av Marginal - 31 A 140 - 19880000 - candido Mota - SP;;-22.6961;-50.291924
AYH1289;30064283;GV75;26/09/2017 17:16:35;26/09/2017 17:15:45;26/09/2017 17:16:07;Ligada;Desativado;3.0;484;Valido;100%;Nao;Posição;;Av marginal - 31 a 140 - 19880000 - candido mota - SP;;-22.695936;-50.291889
AYH1289;30064283;GV75;26/09/2017 17:16:34;26/09/2017 17:14:57;26/09/2017 17:15:15;Ligada;Desativado;10.0;488;Valido;100%;Nao;Posição;;Av Marginal - 141 A 252 - 19880000 - candido Mota - SP;;-22.696144;-50.291176
AYH1289;30064283;GV75;26/09/2017 17:16:32;26/09/2017 17:14:57;26/09/2017 17:15:15;Ligada;Desativado;10.0;488;Valido;100%;Nao;Ignição On;;Av Marginal - 141 A 252 - 19880000 - candido Mota - SP;;-22.696144;-50.291176
AYH1289;30064283;GV75;26/09/2017 17:14:42;26/09/2017 17:09:46;26/09/2017 17:15:00;Ligada;Desativado;0.0;484;Valido;100%;Nao;Ignição On;;Av Marginal - 141 A 252 - 19880000 - candido Mota - SP;;-22.696276;-50.291149
AYH1289;30064283;GV75;26/09/2017 17:09:48;26/09/2017 17:09:46;26/09/2017 17:10:04;Desligada;Desativado;0.0;484;Valido;100%;Nao;Posição;;Av Marginal - 141 A 252 - 19880000 - candido Mota - SP;;-22.696276;-50.291149
AYH1289;30064283;GV75;26/09/2017 17:09:47;26/09/2017 17:09:46;26/09/2017 17:10:04;Desligada;Desativado;0.0;484;Valido;100%;Nao;Ignição Off;;Av Marginal - 141 A 252 - 19880000 - candido Mota - SP;;-22.696276;-50.291149
AYH1289;30064283;GV75;26/09/2017 17:09:43;26/09/2017 17:09:41;26/09/2017 17:10:01;Desligada;Desativado;0.0;484;Valido;100%;Nao;Ignição Off;;Av Marginal - 141 A 252 - 19880000 - candido Mota - SP;;-22.696276;-50.291149
AYH1289;30064283;GV75;26/09/2017 17:09:41;26/09/2017 17:09:35;26/09/2017 17:09:58;Ligada;Desativado;0.0;484;Valido;100%;Nao;Posição;;Av Marginal - 141 A 252 - 19880000 - candido Mota - SP;;-22.696276;-50.291149
AYH1289;30064283;GV75;26/09/2017 17:08:41;26/09/2017 17:08:35;26/09/2017 17:08:59;Ligada;Desativado;0.0;484;Valido;100%;Nao;Posição;;Av Marginal - 141 A 252 - 19880000 - candido Mota - SP;;-22.696276;-50.291149
AYH1289;30064283;GV75;26/09/2017 17:07:41;26/09/2017 17:07:38;26/09/2017 17:07:59;Ligada;Desativado;0.0;484;Valido;100%;Nao;Posição;;Av Marginal - 141 A 252 - 19880000 - candido Mota - SP;;-22.696276;-50.291149
AYH1289;30064283;GV75;26/09/2017 17:06:41;26/09/2017 17:06:38;26/09/2017 17:06:59;Ligada;Desativado;0.0;484;Valido;100%;Nao;Posição;;Av Marginal - 141 A 252 - 19880000 - candido Mota - SP;;-22.696276;-50.291149
AYH1289;30064283;GV75;26/09/2017 17:05:42;26/09/2017 17:05:38;26/09/2017 17:05:59;Ligada;Desativado;0.0;484;Valido;100%;Nao;Posição;;Av Marginal - 141 A 252 - 19880000 - candido Mota - SP;;-22.696276;-50.291149
AYH1289;30064283;GV75;26/09/2017 17:04:42;26/09/2017 17:04:38;26/09/2017 17:04:59;Ligada;Desativado;0.0;484;Valido;100%;Nao;Posição;;Av Marginal - 141 A 252 - 19880000 - candido Mota - SP;;-22.696276;-50.291149
AYH1289;30064283;GV75;26/09/2017 17:03:42;26/09/2017 17:03:38;26/09/2017 17:03:59;Ligada;Desativado;0.0;484;Valido;100%;Nao;Posição;;Av Marginal - 141 A 252 - 19880000 - candido Mota - SP;;-22.696276;-50.291149
AYH1289;30064283;GV75;26/09/2017 17:02:43;26/09/2017 17:02:38;26/09/2017 17:03:00;Ligada;Desativado;0.0;484;Valido;100%;Nao;Posição;;Av Marginal - 141 A 252 - 19880000 - candido Mota - SP;;-22.696276;-50.291149
AYH1289;30064283;GV75;26/09/2017 17:01:42;26/09/2017 17:01:38;26/09/2017 17:02:00;Ligada;Desativado;0.0;484;Valido;100%;Nao;Posição;;Av Marginal - 141 A 252 - 19880000 - candido Mota - SP;;-22.696276;-50.291149
AYH1289;30064283;GV75;26/09/2017 17:00:42;26/09/2017 17:00:38;26/09/2017 17:01:00;Ligada;Desativado;0.0;484;Valido;100%;Nao;Posição;;Av marginal - 141 a 252 - 19880000 - candido mota - SP;;-22.696276;-50.291149
AYH1289;30064283;GV75;26/09/2017 16:59:42;26/09/2017 16:59:38;26/09/2017 17:00:00;Ligada;Desativado;26.0;483;Valido;100%;Nao;Posição;;Rua adhemar de barros - candido mota - sp;;-22.697435;-50.290501
AYH1289;30064283;GV75;26/09/2017 16:59:34;26/09/2017 16:58:38;26/09/2017 16:59:01;Ligada;Desativado;61.0;476;Valido;100%;Nao;Posição;;Candido mota - sp - 19880-000 - brazil;;-22.701672;-50.290127
AYH1289;30064283;GV75;26/09/2017 16:59:33;26/09/2017 16:57:44;26/09/2017 16:58:05;Ligada;Desativado;41.0;464;Valido;100%;Nao;Posição;;Rod sp-266 - 0 a 0 - candido mota - SP;;-22.709707;-50.292267
AYH1289;30064283;GV75;26/09/2017 16:57:43;26/09/2017 16:57:38;26/09/2017 16:58:01;Ligada;Desativado;19.0;464;Valido;100%;Nao;Posição;;Rod sp-266 - 0 a 0 - candido mota - SP;;-22.710115;-50.292137
AYH1289;30064283;GV75;26/09/2017 16:57:15;26/09/2017 16:56:38;26/09/2017 16:57:00;Ligada;Desativado;59.0;471;Valido;100%;Nao;Posição;;Candido mota - sp - 19880-000 - brazil;;-22.70191;-50.290176
AYH1289;30064283;GV75;26/09/2017 16:57:14;26/09/2017 16:55:39;26/09/2017 16:56:01;Ligada;Desativado;17.0;492;Valido;100%;Nao;Posição;;Av marginal - 253 a 362 - 19880000 - candido mota - SP;;-22.696793;-50.290176
AYH1289;30064283;GV75;26/09/2017 16:55:22;26/09/2017 16:55:18;26/09/2017 16:55:39;Ligada;Desativado;20.0;492;Valido;100%;Nao;Posição;;Av marginal - 141 a 252 - 19880000 - candido mota - SP;;-22.696257;-50.291119
AYH1289;30064283;GV75;26/09/2017 16:54:48;26/09/2017 16:54:39;26/09/2017 16:55:01;Ligada;Desativado;0.0;491;Valido;100%;Nao;Posição;;Av Marginal - 31 A 140 - 19880000 - candido Mota - SP;;-22.695803;-50.292
AYH1289;30064283;GV75;26/09/2017 16:54:47;26/09/2017 16:53:39;26/09/2017 16:54:01;Ligada;Desativado;0.0;491;Valido;100%;Nao;Posição;;Av marginal - 31 a 140 - 19880000 - candido mota - SP;;-22.695803;-50.292
AYH1289;30064283;GV75;26/09/2017 16:52:58;26/09/2017 16:52:39;26/09/2017 16:53:01;Ligada;Desativado;16.0;499;Valido;100%;Nao;Posição;;R gen. jose pessoa - 305 a 428 - 19880000 - candido mota - SP;;-22.696199;-50.291973
AYH1289;30064283;GV75;26/09/2017 16:52:57;26/09/2017 16:51:51;26/09/2017 16:52:10;Ligada;Desativado;7.0;499;Valido;100%;Nao;Posição;;Rod sp-270 - 0 a 0 - candido mota - SP;;-22.695484;-50.293594
AYH1289;30064283;GV75;26/09/2017 16:52:56;26/09/2017 16:51:51;26/09/2017 16:52:10;Ligada;Desativado;7.0;499;Valido;100%;Nao;Ignição On;;Posto Alexandria - Candido Mota - Sp;;-22.695484;-50.293594
AYH1289;30064283;GV75;26/09/2017 16:57:43;26/09/2017 16:51:24;26/09/2017 16:51:55;Ligada;Desativado;0.0;535;Valido;100%;Nao;Ignição On;;Rod sp-270 - 0 a 0 - candido mota - SP;;-22.695528;-50.293732
AYH1289;30064283;GV75;26/09/2017 16:55:25;26/09/2017 16:51:24;26/09/2017 16:51:42;Desligada;Desativado;0.0;535;Valido;100%;Nao;Posição;;Rod sp-270 - 0 a 0 - candido mota - SP;;-22.695528;-50.293732
